"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7495","TC-016 - Supprimer le dernier produit","firefox","2026-08-10","failed","2026-08-10","Suppression panier","Sprint_3___Panier/automatisation/tests/delete.spec.ts","",""
"","4779","TC-007 - Champs obligatoires vides","chromium","2026-08-10","passed","2026-08-10","Billing Address","Sprint_4___Checkout/automatisation/tests/billing-address.spec.ts","",""
"","5529","TC-009 - Quantité négative (soumission bloquée)","firefox","2026-08-10","failed","2026-08-10","Quantité panier","Sprint_3___Panier/automatisation/tests/quantity-cart.spec.ts","",""
"","1362","TC-004 - Register avec email mal formaté","chromium","2026-08-10","passed","2026-08-10","Register","Sprint_1___Access-management/automatisation/tests/register.spec.ts","",""
"","2827","TC-006 - Vérifier la présence du select de tri","firefox","2026-08-10","passed","2026-08-10","Tri des produits","Sprint_2___Catalogue/automatisation/tests/sort.spec.ts","",""
"","6838","TC-026 - Modifier valeur min - produits filtrés correctement","firefox","2026-08-10","failed","2026-08-10","Filtre par fourchette de prix","Sprint_2___Catalogue/automatisation/tests/price.spec.ts","",""
"","3420","TC-018 - Cliquer sur Proceed to checkout","chromium","2026-08-10","passed","2026-08-10","Proceed to checkout","Sprint_3___Panier/automatisation/tests/proceed-checkout.spec.ts","",""
"","3618","TC-028 - Option de déconnexion visible dans le menu","firefox","2026-08-10","passed","2026-08-10","Menu utilisateur connecté","Sprint_1___Access-management/automatisation/tests/navbar.spec.ts","",""
"","8523","TC-008 - Formulaire complet (passage vers Payment)","firefox","2026-08-10","passed","2026-08-10","Billing Address","Sprint_4___Checkout/automatisation/tests/billing-address.spec.ts","",""
"","11627","TC-014 - Champs remplis (accès à la confirmation)","firefox","2026-08-10","passed","2026-08-10","Informations de paiement","Sprint_4___Checkout/automatisation/tests/payment-info.spec.ts","",""
"","4320","TC-007 - Tri des noms de produits (A-Z)","firefox","2026-08-10","failed","2026-08-10","Tri des produits","Sprint_2___Catalogue/automatisation/tests/sort.spec.ts","",""
"","6394","TC-036 - Produit apparaît dans la liste des favoris","firefox","2026-08-10","passed","2026-08-10","Add to favourites","Sprint_2___Catalogue/automatisation/tests/favourites.spec.ts","",""
"","3325","TC-009 - Quantité négative (soumission bloquée)","chromium","2026-08-10","failed","2026-08-10","Quantité panier","Sprint_3___Panier/automatisation/tests/quantity-cart.spec.ts","",""
"","9920","TC-005 - Ajouter le même produit plusieurs fois","firefox","2026-08-10","failed","2026-08-10","Add to cart","Sprint_3___Panier/automatisation/tests/add-to-cart.spec.ts","",""
"","4022","TC-004 - Recherche vide","firefox","2026-08-10","passed","2026-08-10","Recherche produit","Sprint_2___Catalogue/automatisation/tests/search.spec.ts","",""
"","4481","TC-013 - Login avec mauvais mot de passe","firefox","2026-08-10","passed","2026-08-10","Login","Sprint_1___Access-management/automatisation/tests/login.spec.ts","",""
"","3897","TC-026 - Modifier valeur min - produits filtrés correctement","chromium","2026-08-10","failed","2026-08-10","Filtre par fourchette de prix","Sprint_2___Catalogue/automatisation/tests/price.spec.ts","",""
"","3425","TC-008 - Quantité à 0 (soumission bloquée ou remise à 1)","chromium","2026-08-10","failed","2026-08-10","Quantité panier","Sprint_3___Panier/automatisation/tests/quantity-cart.spec.ts","",""
"","2041","TC-033 - Vérifier la présence du bouton Add to favourites","chromium","2026-08-10","passed","2026-08-10","Add to favourites","Sprint_2___Catalogue/automatisation/tests/favourites.spec.ts","",""
"","8804","TC-007 - Champs obligatoires vides","firefox","2026-08-10","passed","2026-08-10","Billing Address","Sprint_4___Checkout/automatisation/tests/billing-address.spec.ts","",""
"","6684","TC-024 - Logout > redirection vers /auth/login","firefox","2026-08-10","passed","2026-08-10","Logout","Sprint_1___Access-management/automatisation/tests/logout.spec.ts","",""
"","4848","TC-017 - Login réussi > redirection /account","firefox","2026-08-10","passed","2026-08-10","Login","Sprint_1___Access-management/automatisation/tests/login.spec.ts","",""
"","9986","TC-013 - Champs vides","firefox","2026-08-10","passed","2026-08-10","Informations de paiement","Sprint_4___Checkout/automatisation/tests/payment-info.spec.ts","",""
"","6687","TC-030 - Cliquer sur + (quantité incrémente de 1)","firefox","2026-08-10","failed","2026-08-10","Sélecteur de quantité (page produit)","Sprint_2___Catalogue/automatisation/tests/quantity.spec.ts","",""
"","2139","TC-007 - Mot de passe 8 caractères","chromium","2026-08-10","passed","2026-08-10","Register","Sprint_1___Access-management/automatisation/tests/register.spec.ts","",""
"","2557","TC-012 - Tri CO₂ Rating (Worst First)","chromium","2026-08-10","passed","2026-08-10","Tri des produits","Sprint_2___Catalogue/automatisation/tests/sort.spec.ts","",""
"","3601","TC-033 - Vérifier la présence du bouton Add to favourites","firefox","2026-08-10","passed","2026-08-10","Add to favourites","Sprint_2___Catalogue/automatisation/tests/favourites.spec.ts","",""
"","1427","TC-022 - Champ email vide","firefox","2026-08-10","passed","2026-08-10","Forgot your password","Sprint_1___Access-management/automatisation/tests/forgot-password.spec.ts","",""
"","3551","TC-011 - Modifier la quantité (total par ligne mis à jour)","chromium","2026-08-10","failed","2026-08-10","Total panier","Sprint_3___Panier/automatisation/tests/total.spec.ts","",""
"","1223","TC-005 - Bouton de recherche présent","chromium","2026-08-10","passed","2026-08-10","Recherche produit","Sprint_2___Catalogue/automatisation/tests/search.spec.ts","",""
"","5239","TC-011 - Modifier la quantité (total par ligne mis à jour)","firefox","2026-08-10","failed","2026-08-10","Total panier","Sprint_3___Panier/automatisation/tests/total.spec.ts","",""
"","5687","TC-011 - Sélectionner une méthode de paiement valide","chromium","2026-08-10","passed","2026-08-10","Méthode de paiement","Sprint_4___Checkout/automatisation/tests/payment-method.spec.ts","",""
